,gene
814,IQGAP1
815,LGALS7
816,PNRC2
817,CD74
818,ATP2C1
819,EPB41L2
820,SEL1L
821,ECH1
822,RPL23
823,MPI
824,MYH9
825,GNAS
826,GOLGA8B
827,PTPRU
828,ETNK1
829,SPIRE1
830,RPL28
831,HSPA5
832,FAM177A1
833,NDUFB9
834,KLHDC9
835,FO538757.2
836,RPS27A
837,RPLP1
838,PHC3
839,COL3A1
840,RTN4RL1
841,MMP11
842,UQCC3
843,HMGA1
844,MOB1A
845,RCN2
846,HDAC11
847,PPP1R14D
848,GBAS
849,NFAT5
850,NDUFA1
851,RTCB
852,DMKN
853,RUFY2
854,CHD1L
855,CD9
856,VSTM2L
857,RPS12
858,WDFY2
859,FAM118B
860,CASP8AP2
861,G3BP2
862,APTX
863,PURB
864,ARHGAP29
865,SLC25A3
866,SF3B1
867,UBA3
868,RPL5
869,DYNC2H1
870,PPIE
871,SUPT6H
872,AKAP7
873,NFE2L3
874,FIBIN
875,DNASE2
876,TRAPPC5
877,HADHA
878,FBRS
879,BCAR3
880,PCMTD2
881,CAP1
882,RC3H2
883,VAMP8
884,SYNRG
885,GGNBP2
886,ERBB3
887,MLF1
888,EEF1D
889,POLR3E
890,PGAP3
891,S100A9
892,MGP
893,CHMP3
894,TPM2
895,AUP1
896,CDKN2C
897,COX4I1
898,ASNA1
899,NDUFA11
900,MTRNR2L1
901,ARHGAP23
902,UBE2B
903,RPL23A
904,FTL
905,PTCD1
906,RGMB
907,TMED2
908,RPL18
909,WAC
910,GIGYF2
911,MALAT1
912,ZNF407
913,MRFAP1
914,UHMK1
915,FBL
916,PTBP1
917,LAMP3
918,EDEM3
919,PPP1R9A
920,BCL2L1
921,RNF19A
922,SERF2
923,RGPD5
924,NETO2
925,PROK2
926,UBE2R2
927,PLEKHS1
928,PLOD3
929,TMEM147
930,ZBTB42
931,KIAA0355
932,SLC44A2
933,PMVK
934,CD46
935,MXRA8
936,QSOX1
937,ARHGAP35
938,NUPR1
939,SLC25A16
940,ABHD8
941,MBOAT7
942,CD52
943,FAM111A
944,REPIN1
945,MCAM
946,IMMP1L
947,EPHX1
948,BCLAF1
949,RNF144A
950,ITGB5
951,TMEM97
952,SDHD
953,MICAL3
954,ASMTL
955,UBXN4
956,IQGAP3
957,ACTL6A
958,BZW1
959,VDAC2
960,ING3
961,SP4
962,VPS51
963,TPT1
964,CEP44
965,ASAH1
966,BRINP2
967,SLC39A9
968,LEMD2
969,P2RY11
970,SSBP2
971,SRSF3
972,CHCHD2
973,CCDC136
974,NME3
975,VRK3
976,NME1-NME2
977,NEGR1
978,GUK1
979,ULK1
980,GOLM1
981,CEP70
982,HEXA
983,C11orf58
984,ACOT13
985,ISOC2
986,PPP4C
987,HSD17B3
988,HLA-DPB1
989,LOX
990,DPAGT1
991,MIEN1
992,CDK8
993,TNFRSF12A
994,MRPS21
995,CDCA5
996,PAIP2
997,HMOX1
998,RP11-2C24.9
999,AP2B1
1000,SSR3
1001,STK40
1002,TRMT10C
1003,C1QA
1004,APOD
1005,TMEM184B
1006,TM4SF1
1007,RPS19
1008,ADAM9
1009,TRIM65
1010,PATL1
1011,NECAP2
1012,RHBDD2
1013,RPL7A
1014,WAPAL
1015,ALDOA
1016,THRAP3
1017,BTBD10
1018,MIDN
1019,NUDT7
1020,YWHAQ
1021,YTHDF3
1022,ABR
1023,PILRA
1024,ACSL4
1025,VDAC1
1026,CALD1
1027,BLCAP
1028,CDS1
1029,SSH2
1030,EFNA1
1031,PDZD8
1032,ARL17B
1033,PEX13
1034,IKBKG
1035,DDX60
1036,DNAJB5
1037,PREB
1038,TCIRG1
1039,CACYBP
1040,PEBP1
1041,IGFBP4
1042,ANO6
1043,ANO10
1044,LAPTM5
1045,ITGB2
1046,TMA7
1047,CDK2AP1
1048,UGP2
1049,MRPL18
1050,SLC43A1
1051,SLC2A4RG
1052,PSMA6
1053,CAPN2
1054,GDF11
1055,RPS11
1056,GJA1
1057,TMEM119
1058,LAMTOR2
1059,SRA1
1060,MAGEF1
1061,HAUS2
1062,CYP2J2
1063,RCHY1
1064,SH3BGRL
1065,ZMYM3
1066,FAM120A
1067,SLC38A2
1068,ZNF527
1069,SECTM1
1070,PTPRO
1071,DDAH1
