,gene
1044,Rpl17
1045,Ndrg4
1046,Snrnp48
1047,Bdp1
1048,Psmc1
1049,Polr2j
1050,Yes1
1051,P4ha2
1052,Ndufs6
1053,Elp3
1054,Nfyc
1055,Foxo1
1056,Snrpg
1057,Pcbp1
1058,Tmem255a
1059,Mfsd10
1060,Fn1
1061,Ddr2
1062,Cab39l
1063,H2afy
1064,Cotl1
1065,Abhd5
1066,Fbxo41
1067,Papd5
1068,Clcn3
1069,2810405F15Rik
1070,Rap1gds1
1071,Nfe2l2
1072,Gda
1073,Ly6c1
1074,Fjx1
1075,Sod1
1076,Mtfr1l
1077,Jmjd1c
1078,Cwc15
1079,Cs
1080,Notch3
1081,Hmcn1
1082,Enho
1083,Kcnip1
1084,Zrsr1
1085,Gabrb2
1086,Msi2
1087,Csk
1088,Tbx6
1089,Pdpn
1090,Ncor1
1091,Usmg5
1092,Hdac1
1093,Pdcd6
1094,Sidt2
1095,Fam168a
1096,Hdlbp
1097,Kars
1098,Ncoa4
1099,Zfp503
1100,Eml5
1101,Neurl1a
1102,Pacsin3
1103,Rps11
1104,Pcnx
1105,Eif5b
1106,Bai1
1107,Drg1
1108,Jun
1109,Arfip1
1110,Ctcf
1111,Igsf21
1112,E130309F12Rik
1113,Qk
1114,Il18
1115,Tusc2
1116,Parl
1117,Igtp
1118,Atp2c1
1119,Limd2
1120,Pabpc1
1121,Sdhaf2
1122,Khdrbs1
1123,Rac1
1124,Pitpnm2
1125,Ebf4
1126,Sacm1l
1127,Srsf5
1128,Lmtk3
1129,Rbm39
1130,Stk38
1131,Srek1ip1
1132,Chsy3
1133,Mllt4
1134,Ankrd29
1135,Usp14
1136,Nefm
1137,Gatad1
1138,Rbfox2
1139,Slc41a1
1140,6330549D23Rik
1141,Slc6a11
1142,Ehmt1
1143,Kcnd2
1144,Mrpl30
1145,Kank1
1146,Atg13
1147,Adam23
1148,Rnf139
1149,Actl6b
1150,Ap2m1
1151,Taf13
1152,Cxxc1
1153,Tmtc1
1154,Ube2n
1155,A230046K03Rik
1156,Mrpl14
1157,Emc1
1158,Pcmt1
1159,Zfp106
1160,Cox6a1
1161,Fndc3a
1162,Ifnar2
1163,Apopt1
1164,Pcnxl3
1165,Usp37
1166,Clec2l
1167,Dctn3
1168,Celf3
1169,Sfswap
1170,Dpp9
1171,Strbp
1172,Edil3
1173,Ercc8
1174,Psma1
1175,Prex1
1176,Clk3
1177,Pigk
1178,Bscl2
1179,Tcf12
1180,Phlpp1
1181,Naa40
1182,Irs1
1183,Kcnj10
1184,4930579G24Rik
1185,Zic1
1186,Dusp8
1187,Gm13826
1188,Pbxip1
1189,Plekhn1
1190,Diras1
1191,Ugt8a
1192,Scd2
1193,Fra10ac1
1194,Slmo2
1195,Morn4
1196,Gpr155
1197,Zranb2
1198,Nceh1
1199,Zc3h18
1200,Surf1
1201,Rfxap
1202,Hpcal4
1203,Fech
1204,2310022B05Rik
1205,G3bp1
1206,Tbc1d16
1207,Mapk9
1208,Cops7a
1209,Nell2
1210,C87436
1211,Ube2g1
1212,Mprip
1213,G2e3
1214,Zmym1
1215,Dnajc7
1216,Cse1l
1217,Tle3
1218,Kpna4
1219,Ccnd1
1220,Tpra1
1221,Agap2
1222,Sdf2
1223,1810026B05Rik
1224,Apod
1225,Iqck
1226,Mrps22
