,gene
442,ENSG00000032742
443,ENSG00000033011
444,ENSG00000033030
445,ENSG00000033050
446,ENSG00000033100
447,ENSG00000033122
448,ENSG00000033170
449,ENSG00000033178
450,ENSG00000033327
451,ENSG00000033627
452,ENSG00000033800
453,ENSG00000033867
454,ENSG00000034053
455,ENSG00000034152
456,ENSG00000034510
457,ENSG00000034533
458,ENSG00000034677
459,ENSG00000034693
460,ENSG00000034713
461,ENSG00000035115
462,ENSG00000035141
463,ENSG00000035403
464,ENSG00000035499
465,ENSG00000035664
466,ENSG00000035681
467,ENSG00000035687
468,ENSG00000035720
469,ENSG00000035862
470,ENSG00000035928
471,ENSG00000036054
472,ENSG00000036257
473,ENSG00000036448
474,ENSG00000036530
475,ENSG00000036549
476,ENSG00000036672
477,ENSG00000037042
478,ENSG00000037241
479,ENSG00000037280
480,ENSG00000037474
481,ENSG00000037637
482,ENSG00000037749
483,ENSG00000037757
484,ENSG00000037897
485,ENSG00000037965
486,ENSG00000038002
487,ENSG00000038210
488,ENSG00000038219
489,ENSG00000038274
490,ENSG00000038295
491,ENSG00000038382
492,ENSG00000038427
493,ENSG00000038532
494,ENSG00000038945
495,ENSG00000039068
496,ENSG00000039123
497,ENSG00000039139
498,ENSG00000039319
499,ENSG00000039523
500,ENSG00000039560
501,ENSG00000039650
502,ENSG00000040199
503,ENSG00000040275
504,ENSG00000040341
505,ENSG00000040487
506,ENSG00000040531
507,ENSG00000040608
508,ENSG00000040633
509,ENSG00000040731
510,ENSG00000040933
511,ENSG00000041353
512,ENSG00000041357
513,ENSG00000041515
514,ENSG00000041802
515,ENSG00000041880
516,ENSG00000041982
517,ENSG00000041988
518,ENSG00000042088
519,ENSG00000042286
520,ENSG00000042317
521,ENSG00000042429
522,ENSG00000042445
523,ENSG00000042493
524,ENSG00000042753
525,ENSG00000042781
526,ENSG00000042832
527,ENSG00000042980
528,ENSG00000043039
529,ENSG00000043093
530,ENSG00000043143
531,ENSG00000043355
532,ENSG00000043462
533,ENSG00000043514
534,ENSG00000043591
535,ENSG00000044090
536,ENSG00000044115
537,ENSG00000044446
538,ENSG00000044459
539,ENSG00000044524
540,ENSG00000044574
541,ENSG00000046604
542,ENSG00000046647
543,ENSG00000046651
544,ENSG00000046653
545,ENSG00000046889
546,ENSG00000047056
547,ENSG00000047188
548,ENSG00000047230
549,ENSG00000047249
550,ENSG00000047315
551,ENSG00000047346
552,ENSG00000047365
553,ENSG00000047410
554,ENSG00000047457
555,ENSG00000047578
556,ENSG00000047579
557,ENSG00000047597
558,ENSG00000047617
559,ENSG00000047621
560,ENSG00000047634
561,ENSG00000047644
562,ENSG00000047648
563,ENSG00000047662
564,ENSG00000047849
565,ENSG00000047932
566,ENSG00000048028
567,ENSG00000048052
568,ENSG00000048140
569,ENSG00000048162
570,ENSG00000048342
571,ENSG00000048392
572,ENSG00000048405
573,ENSG00000048462
574,ENSG00000048471
575,ENSG00000048540
576,ENSG00000048544
577,ENSG00000048649
578,ENSG00000048707
579,ENSG00000048740
580,ENSG00000048828
581,ENSG00000048991
582,ENSG00000049089
583,ENSG00000049130
584,ENSG00000049167
585,ENSG00000049192
586,ENSG00000049239
587,ENSG00000049245
588,ENSG00000049246
589,ENSG00000049249
590,ENSG00000049283
591,ENSG00000049323
592,ENSG00000049449
593,ENSG00000049540
594,ENSG00000049541
595,ENSG00000049618
596,ENSG00000049656
597,ENSG00000049759
598,ENSG00000049768
599,ENSG00000049769
600,ENSG00000049860
601,ENSG00000049883
602,ENSG00000050030
603,ENSG00000050130
604,ENSG00000050165
605,ENSG00000050327
606,ENSG00000050344
607,ENSG00000050393
608,ENSG00000050405
609,ENSG00000050426
610,ENSG00000050438
611,ENSG00000050628
612,ENSG00000050748
613,ENSG00000050820
614,ENSG00000051009
615,ENSG00000051108
616,ENSG00000051128
617,ENSG00000051180
618,ENSG00000051341
619,ENSG00000051382
620,ENSG00000051523
621,ENSG00000051596
622,ENSG00000051620
623,ENSG00000051825
624,ENSG00000052126
625,ENSG00000052344
626,ENSG00000052723
627,ENSG00000052749
628,ENSG00000052795
629,ENSG00000052802
630,ENSG00000052841
631,ENSG00000052850
632,ENSG00000053254
633,ENSG00000053371
634,ENSG00000053372
635,ENSG00000053501
636,ENSG00000053524
637,ENSG00000053747
638,ENSG00000053770
639,ENSG00000053900
640,ENSG00000053918
641,ENSG00000054116
642,ENSG00000054118
643,ENSG00000054148
644,ENSG00000054179
645,ENSG00000054219
646,ENSG00000054267
647,ENSG00000054277
648,ENSG00000054282
649,ENSG00000054392
650,ENSG00000054523
651,ENSG00000054598
652,ENSG00000054611
653,ENSG00000054654
654,ENSG00000054690
655,ENSG00000054793
656,ENSG00000054803
657,ENSG00000054938
658,ENSG00000054965
659,ENSG00000054967
660,ENSG00000054983
661,ENSG00000055044
662,ENSG00000055070
663,ENSG00000055118
664,ENSG00000055130
665,ENSG00000055147
666,ENSG00000055163
667,ENSG00000055208
668,ENSG00000055211
669,ENSG00000055332
670,ENSG00000055483
671,ENSG00000055609
672,ENSG00000055732
673,ENSG00000055917
674,ENSG00000055950
675,ENSG00000055955
676,ENSG00000056050
677,ENSG00000056097
678,ENSG00000056277
679,ENSG00000056558
680,ENSG00000056586
681,ENSG00000056736
682,ENSG00000056972
683,ENSG00000056998
684,ENSG00000057019
685,ENSG00000057252
686,ENSG00000057294
687,ENSG00000057593
688,ENSG00000057608
689,ENSG00000057657
690,ENSG00000057663
691,ENSG00000057704
692,ENSG00000057757
693,ENSG00000057935
694,ENSG00000058056
695,ENSG00000058063
696,ENSG00000058085
697,ENSG00000058091
698,ENSG00000058262
699,ENSG00000058272
700,ENSG00000058335
701,ENSG00000058404
702,ENSG00000058453
703,ENSG00000058600
704,ENSG00000058668
705,ENSG00000058673
706,ENSG00000058729
707,ENSG00000058799
708,ENSG00000058804
709,ENSG00000058866
710,ENSG00000059122
711,ENSG00000059145
712,ENSG00000059377
713,ENSG00000059378
714,ENSG00000059573
715,ENSG00000059588
716,ENSG00000059691
717,ENSG00000059728
718,ENSG00000059758
719,ENSG00000059769
720,ENSG00000059804
721,ENSG00000059915
722,ENSG00000060069
723,ENSG00000060138
724,ENSG00000060140
725,ENSG00000060237
726,ENSG00000060339
727,ENSG00000060491
728,ENSG00000060558
729,ENSG00000060566
730,ENSG00000060642
731,ENSG00000060656
732,ENSG00000060688
733,ENSG00000060709
734,ENSG00000060718
735,ENSG00000060749
736,ENSG00000060762
737,ENSG00000060971
738,ENSG00000060982
739,ENSG00000061273
740,ENSG00000061337
741,ENSG00000061455
742,ENSG00000061656
743,ENSG00000061676
744,ENSG00000061794
745,ENSG00000061918
746,ENSG00000061936
747,ENSG00000061938
748,ENSG00000061987
749,ENSG00000062038
750,ENSG00000062096
751,ENSG00000062194
752,ENSG00000062282
753,ENSG00000062370
754,ENSG00000062485
755,ENSG00000062524
756,ENSG00000062582
757,ENSG00000062598
758,ENSG00000062650
759,ENSG00000062716
760,ENSG00000062725
761,ENSG00000062822
762,ENSG00000063046
763,ENSG00000063169
764,ENSG00000063176
765,ENSG00000063177
766,ENSG00000063180
767,ENSG00000063241
768,ENSG00000063244
769,ENSG00000063245
770,ENSG00000063322
771,ENSG00000063438
772,ENSG00000063587
773,ENSG00000063601
774,ENSG00000063660
775,ENSG00000063761
776,ENSG00000063854
777,ENSG00000063978
778,ENSG00000064012
779,ENSG00000064042
780,ENSG00000064102
781,ENSG00000064115
782,ENSG00000064195
783,ENSG00000064199
784,ENSG00000064201
785,ENSG00000064205
786,ENSG00000064225
787,ENSG00000064270
788,ENSG00000064300
789,ENSG00000064309
790,ENSG00000064313
791,ENSG00000064393
792,ENSG00000064419
793,ENSG00000064490
794,ENSG00000064545
795,ENSG00000064547
796,ENSG00000064601
797,ENSG00000064607
798,ENSG00000064651
799,ENSG00000064652
800,ENSG00000064655
801,ENSG00000064666
802,ENSG00000064687
803,ENSG00000064703
804,ENSG00000064726
805,ENSG00000064763
806,ENSG00000064886
807,ENSG00000064932
808,ENSG00000064933
809,ENSG00000064961
810,ENSG00000064989
811,ENSG00000064995
812,ENSG00000064999
813,ENSG00000065000
814,ENSG00000065029
815,ENSG00000065054
816,ENSG00000065057
817,ENSG00000065060
818,ENSG00000065135
819,ENSG00000065150
820,ENSG00000065154
821,ENSG00000065183
822,ENSG00000065243
823,ENSG00000065268
824,ENSG00000065308
825,ENSG00000065320
826,ENSG00000065325
827,ENSG00000065328
828,ENSG00000065357
829,ENSG00000065361
830,ENSG00000065371
831,ENSG00000065413
832,ENSG00000065427
833,ENSG00000065457
834,ENSG00000065485
835,ENSG00000065491
836,ENSG00000065518
837,ENSG00000065526
838,ENSG00000065534
839,ENSG00000065548
840,ENSG00000065559
841,ENSG00000065600
842,ENSG00000065609
843,ENSG00000065613
844,ENSG00000065615
845,ENSG00000065621
846,ENSG00000065665
847,ENSG00000065675
848,ENSG00000065717
849,ENSG00000065802
850,ENSG00000065809
851,ENSG00000065833
852,ENSG00000065882
853,ENSG00000065883
854,ENSG00000065911
855,ENSG00000065923
856,ENSG00000065970
857,ENSG00000065978
858,ENSG00000065989
859,ENSG00000066027
860,ENSG00000066044
861,ENSG00000066056
862,ENSG00000066084
863,ENSG00000066117
864,ENSG00000066135
865,ENSG00000066136
866,ENSG00000066185
867,ENSG00000066279
868,ENSG00000066294
869,ENSG00000066322
870,ENSG00000066336
871,ENSG00000066379
872,ENSG00000066422
873,ENSG00000066427
874,ENSG00000066455
